id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;activation_key;reset_key;created_by;created_date;reset_date;last_modified_by;last_modified_date
15;teacher1;$2a$10$pMosMISX5gGFPGv6QZVaF.wIO5lw4gwoZo0XT4RwLiL.AXQfU8s4m;Марина;Іванівна;teacher1@sample.com;;true;en;;89708071359648606077;admin;2017-05-17 16:00:31;2017-05-17 16:00:31;admin;2017-05-17 16:00:31
16;teacher2;$2a$10$y1Djw2iW77S/goC4pVH6C.ELCBmcOHnplXNS8hDtWTPe0uW4Y/h4u;Василина;Петрівна;teacher2@sample.com;;true;en;;96312352115235420883;admin;2017-05-17 16:01:02;2017-05-17 16:01:02;admin;2017-05-17 16:01:02
17;teacher3;$2a$10$BIJacAF8pODBp.wI2R9rceWnOqPPyLpmCm3IkijT9INvkGw0x6Ipq;Віктор;Миколайович;teacher3@sample.com;;true;en;;94325910517020263190;admin;2017-05-17 16:01:23;2017-05-17 16:01:23;admin;2017-05-17 16:01:23
18;teacher4;$2a$10$RJA3aASACYXQrmyDdnKaz.rigL44T0NVlkysp4NnffAxdvqCDo.fC;Марія;Володимирівна;teacher4@sample.com;;true;en;;42528773693174610966;admin;2017-05-17 16:02:22;2017-05-17 16:02:22;admin;2017-05-17 16:02:22
19;teacher5;$2a$10$U4LGYujICaqkw/MzyyrH2Ovw/aFUOyLliLyI1QDtEEtLlVMcbJu1m;Василь;Адамович;teacher5@sample.com;;true;en;;62718747884470468986;admin;2017-05-17 16:03:09;2017-05-17 16:03:09;admin;2017-05-17 16:03:09
20;pupil1;$2a$10$6BEY/NP1oIxZoVrvKKNnyeTjLwKbzdPhbNUH.s87fWEjt7EhARTBW;Анастасія;Малюткіна;pupil1@sample.com;;true;en;;24574129252629685824;admin;2017-05-17 16:04:57;2017-05-17 16:04:57;admin;2017-05-17 16:04:57
21;pupil2;$2a$10$bY39bP8cGpX3vbPhn8HB3uNQ.G7mUBjIWgMQCj1LLylf.KdBU3YBq;Ілона;Петрова;pupil2@sample.com;;true;en;;27211952002142878332;admin;2017-05-17 16:05:23;2017-05-17 16:05:23;admin;2017-05-17 16:05:23
22;pupil3;$2a$10$.occ3bDCQ3IGP6pjOtZ0kepse7onM/Q.s2MgSblDRqHF516EMqNUK;Аліса;Курьохіна;pupil3@sample.com;;true;ru;;96644948218342868339;admin;2017-05-17 16:05:52;2017-05-17 16:05:52;admin;2017-05-17 16:05:52
23;pupil4;$2a$10$TkrBbhiIkgmdIZ14CAKgC.GmfOd7RiRc73vgWxnBFgEMh/VCACyLm;Петро;Варятов;pupil4@sample.com;;true;en;;06630182816933036094;admin;2017-05-17 16:06:48;2017-05-17 16:06:48;admin;2017-05-17 16:06:48
24;pupil5;$2a$10$rgY8vPfk2DmQVZ2NoZ5zNO3PA7F71k8ZvQDLNtI3dvOksxF4b4EA6;Вадим;Бігун;pupil5@sample.com;;true;en;;96520331946788608273;admin;2017-05-17 16:07:53;2017-05-17 16:07:53;admin;2017-05-17 16:07:53
25;parent1;$2a$10$Rmzd3mXond/Y6TOM4hkOxOBnUesco5HHsHzBqWTVt5e/1Dak2onhO;Сергій;Висоцький;parent1@sample.com;;true;en;;88670438068753033152;admin;2017-05-17 16:10:32;2017-05-17 16:10:32;admin;2017-05-17 16:11:06
26;parent2;$2a$10$pmotXDz2qrONhOqNGDY7v.1PQGSnRF0mwq7OpeZ0iAkAW5hDfOsx6;Жанна;Висоцька;parent2@sample.com;;true;en;;63124394235809109682;admin;2017-05-17 16:10:49;2017-05-17 16:10:49;admin;2017-05-17 16:10:49
27;parent3;$2a$10$TR0gFM2ej9V1orsfiEZUC.2nHr6obWceTsdOXwgCdFI/mJtHta0YK;Василь;Мудрий;parent3@sample.com;;true;en;;65708505029259770560;admin;2017-05-17 16:11:22;2017-05-17 16:11:22;admin;2017-05-17 16:11:22
28;parent4;$2a$10$oZr9rcj7lcYqM4QyACFaFOhKlm8Mea8TRDHC1HjZulTOVbdWg1ck2;Іван;Гарячий;parent4@sample.com;;true;en;;55586069494152028441;admin;2017-05-17 16:11:35;2017-05-17 16:11:35;admin;2017-05-17 16:11:35
29;parent5;$2a$10$liIdDGozR8Ip.FbKPHqLv.rGgfJalxWZ7653Lpwyc7sQOpjrvfLe2;Олена;Криворук;parent5@sample.com;;true;en;;13915420923013662446;admin;2017-05-17 16:11:51;2017-05-17 16:11:51;admin;2017-05-17 16:11:51
30;pupil7;$2a$10$ISLoZVnvUpzsFZHGhk897OepGJ8Dgfq7c4JCg7UatU21Zj/iTyH1q;Дар'я;Крамаренко;pupil7@sample.com;;true;en;;24574129252629685824;admin;2017-05-17 16:04:57;2017-05-17 16:04:57;admin;2017-05-17 16:04:57
31;pupil8;$2a$10$ISLoZVnvUpzsFZHGhk897OepGJ8Dgfq7c4JCg7UatU21Zj/iTyH1q;Дмитро;Захарчук;pupil8@sample.com;;true;en;;24574129252629685824;admin;2017-05-17 16:04:57;2017-05-17 16:04:57;admin;2017-05-17 16:04:57
32;pupil9;$2a$10$ISLoZVnvUpzsFZHGhk897OepGJ8Dgfq7c4JCg7UatU21Zj/iTyH1q;Євген;Васильєв;pupil9@sample.com;;true;en;;24574129252629685824;admin;2017-05-17 16:04:57;2017-05-17 16:04:57;admin;2017-05-17 16:04:57
33;pupil10;$2a$10$ISLoZVnvUpzsFZHGhk897OepGJ8Dgfq7c4JCg7UatU21Zj/iTyH1q;Віктор;Петренко;pupil10@sample.com;;true;en;;24574129252629685824;admin;2017-05-17 16:04:57;2017-05-17 16:04:57;admin;2017-05-17 16:04:57
34;pupil11;$2a$10$ISLoZVnvUpzsFZHGhk897OepGJ8Dgfq7c4JCg7UatU21Zj/iTyH1q;Ілля;Бондаренко;pupil11@sample.com;;true;en;;24574129252629685824;admin;2017-05-17 16:04:57;2017-05-17 16:04:57;admin;2017-05-17 16:04:57
35;pupil12;$2a$10$ISLoZVnvUpzsFZHGhk897OepGJ8Dgfq7c4JCg7UatU21Zj/iTyH1q;Олександрович;Софія;pupil12@sample.com;;true;en;;24574129252629685824;admin;2017-05-17 16:04:57;2017-05-17 16:04:57;admin;2017-05-17 16:04:57
36;pupil13;$2a$10$ISLoZVnvUpzsFZHGhk897OepGJ8Dgfq7c4JCg7UatU21Zj/iTyH1q;Ярослава;Броваренко;pupil13@sample.com;;true;en;;24574129252629685824;admin;2017-05-17 16:04:57;2017-05-17 16:04:57;admin;2017-05-17 16:04:57
37;pupil14;$2a$10$ISLoZVnvUpzsFZHGhk897OepGJ8Dgfq7c4JCg7UatU21Zj/iTyH1q;Алла;Шевчук;pupil14@sample.com;;true;en;;24574129252629685824;admin;2017-05-17 16:04:57;2017-05-17 16:04:57;admin;2017-05-17 16:04:57
38;pupil15;$2a$10$ISLoZVnvUpzsFZHGhk897OepGJ8Dgfq7c4JCg7UatU21Zj/iTyH1q;Валерія;Васильчук;pupil15@sample.com;;true;en;;24574129252629685824;admin;2017-05-17 16:04:57;2017-05-17 16:04:57;admin;2017-05-17 16:04:57
39;pupil16;$2a$10$ISLoZVnvUpzsFZHGhk897OepGJ8Dgfq7c4JCg7UatU21Zj/iTyH1q;Костянтин;Лисенко;pupil16@sample.com;;true;en;;24574129252629685824;admin;2017-05-17 16:04:57;2017-05-17 16:04:57;admin;2017-05-17 16:04:57
